Model,Accuracy,AUC-ROC,Precision,Recall,F1 Score
Random Forest,0.916,0.9550826666666667,0.8885429638854296,0.9513333333333334,0.9188667095943336
Neural Network,0.9143333333333333,0.9550495555555556,0.8857852265673495,0.9513333333333334,0.9173899067823851
LightGBM,0.913,0.9566806666666666,0.8898678414096917,0.9426666666666667,0.9155066364519262
Decision Tree,0.9123333333333333,0.9455137777777777,0.8907138344914719,0.94,0.9146934803762569
Logistic Regression,0.9093333333333333,0.9562439999999999,0.8976683937823834,0.924,0.9106438896189225
